 BACKUPSERIE FRA HYDARK SKREVET FORMATERT
 ISER1....:  9001
 CVER.....: J
 CTYPE....: 1
 SNAVN....: DRIVA               
 RSKAL....:   374.970184
 IAR1.....: 1930
 IAR2.....: 1990
 RMID.....:      489.020386
 DDAT.....:   19970317
 VNR......:  136
 ENR......:   97    -1    -1    -1  
 FNR......:   14
 GNR......:    0
 FELT.....:     1.000000
 CPERS....: schjlberg       
 NVEKOD...: KOFOT   
 HNR......:    0
 NLIN.....:    9
 JSID.....:    0     0     0     0     0     0  
 CKOM.. 1.: Seriens opphav: KOFOT-OMFORDEL                      
 CKOM.. 2.: Serie det ble kalibrert mot : 9648-A                
 CKOM.. 3.:                                                     
 CKOM.. 4.: Serie som ble omfordelt     : sum driva             
 CKOM.. 5.: sum driva. Beregnet hele perioden.                  
 CKOM.. 6.: Middelverdier       1931-1960         1931-1980     
 CKOM.. 7.: Kalibrert :     169.99 MM3/UKE      167.85 MM3/UKE  
 CKOM.. 8.: Simulert  :     497.14 MM3/UKE      489.27 MM3/UKE  
 CKOM.. 9.: Variansdekning R**R= .9                             
 CKOM..10.:                                                     
 CKOM..11.:                                                     
 CKOM..12.:                                                     

       610       487       867       376        90        54       105       415
      1528      2507      1473      1031       920      1093      2094      3597
      2127      2857      6224     12770      5992     17486     14899     13057
     18353     19628     16264     10551     10658      6832      4166      4481
      2812      1742      1561      1735      1374      1182      1461      1800
      5925      5683      1460       916       687       156       404      1882
       851      2177       925       427

       879       509       164         0       203       445      2442      1327
       450        88        79       356      1845      2259      2642      2059
      2672      3513      4062      4334     16968     25765     17561      8684
     13810     17532     12997      5456      5721      3697      5051      3361
      3571      2546      1496      2671      2806      2289      1998      1722
      2406      1521       900       746       790       637        60       532
        73       240       155         0

       149         0       506        87       502       201         0         0
         0         0         0         0       433       278       273      1218
       491      1785      6811     11832     11115     10476      8991      5828
      6342      6418      6883      7141      2190      1905      2416      1211
       382       513       404       216      1025      1222      2111      5747
      6859      8188      4490      1004       721       450       706       240
         0      1048      2375      1798

       368       491       329       258       401       281       176        91
       319       991      1140      1162       682       841       744      2187
      3378      2738      9254     13768      6138      5196      9663      7714
      4492      7863     11212      7579      3511      2714      1601      1719
      2514      1769      1272      2776      1758      5809      5351      6162
      4245      2976      2401      1302      2266      1278      1943      4637
      5373      2453      1525       701

       940      1538      1386      1359      2168      1684      1443      1513
      1544       773       971       830       403       566      1109      2364
      4193      5833      8390     18678     15503     16063     18011     13085
      9224     10703     13561      8655      4762      4199      5694      5745
      3858      2484      2470      1440      2059      1631      2850      6174
      5142      2809      2088      1021       935       623         0       239
       114       694       545       428

       702       358       324       401       401       317       202       993
       538       938       588       348       708       598       524       691
      1028      3230      7524      7656      5984      7842     23531     14931
     13333     14067     10913      6595      5241      6393      5286      2319
      1882      1214      1138       900       751       538       305       237
       410      1979       269       277       316       355       268       301
       145       162         0         0

         0       202       236       121       187        83         0       106
        74       102       100       100        20        17       215       273
       473      1027      1014      3324      4820      3679      3789      5664
      6304      6075      4740      4426      4028      4680      3576      4750
      3822      2796      2168       983       988      1128       782       571
       368       160       734         0       320       217       565      2861
      1698      3357      1779      1427

      1068      1165       895       902       729      1529      1588      1263
       984       671       292       577       564       509      1201      2493
      3542      7616     15668      7769      9733     11427      9573     13176
     15461     14465     16984     12870      6669      5458      5149      3383
      2942      2895      2720      2009      2396      2815      2863      1872
       789       705       390       381       154       400       442       590
      1380       612       445       208

       385      1024      1828      1256      1239       704       758       782
      1304       610       372      2144      2375      1525       917       933
      1529      3309      7529     12125     14835     16383     21650     25029
     21632     16097      8544      8297      8059      4879      3929      2379
      2319      3729      7712     11063      5456      1536      1349      4342
      3384      1693       939       915       551       432      3190      2094
       971       613       649       820

      1501      2248      1202       503       296       247       221       213
       195        24       163       440        60       437       327        98
       427      1895      8538      7017     17973     13788      8668      7823
      7205      7453      4429      7536      4590      3496      2993      4981
      4326      1255      1010       838      1063       647      1398       486
      1707      1200        73      1384       225       419         0       324
         0         0      2434       131

       261      1359      1467      1099       424       221       505       306
       358       590       953       807      1023       401       268       733
       258      1098      1464      1696      3030      8261     11043     12281
     13873     23329     22724     23987     15219      9634      5146      4768
      2944      1970      1644      1110       824       724       924      1893
      3124      1725      1181      1073       610      1212      3640      2421
      2946      2175      1203      2103

      1728      1065       738       775       387       195       386       178
       959       838         0       159       568       605       566       237
       175      1872      6166      7296     10366     20582     20529     29314
     10869     12355     17838     19211      8510      8670      7245      5613
      3469      4200      2454      1146      3385      4032      3865      4685
      4200      4030      3224      2499      1501      3811      1939       698
      1448      1468       600       676

       676      2409      2141      1568       153         0         0         0
        97      1003      1508       590       634       349       460      1510
      1572      1174      2220      9767      8813     13317     10969     18247
     11621     10408     14915     16110     14879     12374      5561      4332
      4262      2116      2902      2037      2682      1229      1162      6177
      8468      4589      1530      1716       850        66      1734      2805
      2057      1299       753      1933

      2152       587      1109       220      1181       564       768       210
       397       630       360       333       120       474       563       269
       229       885      2325      2753      7738     14597     14011     10076
     14552     26499     16912      9014      7093      5145      4592      2673
      2976      2597      1888      1390      1943      1443      1350      1558
       907      1327      9511      4337      1232      1165      1993      2445
      2344       654      1165       266

       866       785       451       781       364       666      1335      1966
       627       458       405       225       536       618       714      1942
      3402      4158      9156     11139      8955      7849     14977     10176
      7683     10091      8244      6277      3970      3863      2703      1772
      1526      2061      3581      2314      3915      5334      3270      2549
      1276      1255       816       653       564       347       169        63
       580         0         0       497

       545         0         0       363       246      1052       326       164
         0       129       183        97        13         0       221      1196
      1519       536      6604     11473      6758      7691      9873      6086
      6017      9622      9653      4582      5292      3711      2652      2164
      2525      5022      4628      3591      2405      2324      4214      2374
      2107       823       841       198       533       311       197       665
       191       332       687       456

       101       534       639       349       193        98       408       490
       402      2336      3665      1957      1358       580       764       357
      3371      6859      5815      6701      6359     13474     18400      9775
      6288      5262      7148      7974      5381      6476      9331      4668
